통계표명:,시도별 자동차 등록 현황,,,,,,,,,
단위:,만대,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
합계,"2,099","2,180","2,253","2,320","2,368","2,437","2,491","2,550","2,595","2,630"
서울,306,308,312,313,312,316,318,319,319,318
부산,126,130,133,137,140,143,147,150,153,156
대구,111,113,116,118,119,122,121,123,126,126
인천,136,144,151,158,164,168,168,169,173,175
광주,61,63,65,66,68,69,70,71,72,73
대전,63,65,66,67,67,69,69,71,72,74
울산,53,54,55,56,57,58,58,59,60,61
세종,9,11,13,15,16,18,19,19,20,20
경기,492,516,539,562,577,600,621,638,653,665
강원,69,72,75,77,78,81,83,85,87,88
충북,73,76,79,82,84,87,89,92,94,95
충남,97,102,106,109,112,115,118,121,125,127
전북,84,87,89,92,93,95,96,98,99,100
전남,90,95,99,103,106,110,117,124,125,128
경북,131,135,139,142,145,148,150,152,153,155
경남,156,163,167,169,172,179,183,190,194,198
제주,44,47,50,55,60,62,66,69,70,72
출처:,국토교통부 (시도별 자료),,,,,,,,,
주석:,자동차등록대수는 익월 초 마감 작업후 공표되며 확정치 통계,,,,,,,,,
